All,सभी
None,"कोई नहीं"
"Allowed Scopes","अनुमति प्राप्त क्षेत्र"
"You need more permissions to apply some of the rule updates.","आप को कुछ अद्यतन नियम लागू करने के लिए अधिक अनुमतियों की आवश्यकता है।"
Custom,उपयोगकर्ता
"More permissions are needed to delete the ""%1"" item.","""%1"" वस्तु को हटा ने के लिए अधिक अनुमतियों की आवश्यकता है ।"
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","इस इकाई को स्टोर व्यू में नियुक्त करने की आवश्यकता है। इस इकाई की नियुक्ति जांचें और पुन: प्रयास करें।"
"More permissions are needed to view this item.","इस वस्तु को देखने के लिए अधिक अनुमतियों की आवश्यकता है ।"
"Read Details","विवरण पढ़ें"
"Mark as Read","पढ़ा चिह्नित करें"
"Are you sure?","क्या आपको यकीन है?"
Remove,निकालें
"Messages Inbox","संदेश इनबॉक्स"
"You have %1 new system messages","आपके पास %1 नया सिस्टम संदेश है."
"You have %1 new system message","आपके पास %1 नया सिस्टम संदेश है"
"Incoming Message","प्राप्त संदेश"
close,"बंद करें"
Notifications,सूचनाएं
"1 Hour","1 घंटा"
major,प्रमुख
minor,मामूली
"One or more of the Cache Types are invalidated: %1. ","एक या अधिक कैश प्रकार अमांय हैं: %1. "
"System messages","Major System Messages"
Close,"बंद करें"
"Show Toolbar","उपकरण पट्टी दिखाएं"
"Show List","सूची दिखाएं"
"Use HTTPS to Get Feed","फ़ीड प्राप्त करने के लिए HTTPS का उपयोग करें"
"Update Frequency","अद्यतन आवृत्ति"
"Last Update","अंतिम अद्यतन"
Severity,गंभीरता
"Date Added","जोड़ने की तिथि"
Message,संदेश 
Actions,कार्रवाई
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","आपने देखा और सभी हालिया सिस्टम सूचनाओं को हल किया है । कृपया सूचना चेतावनी साफ़ करने के लिए वेब पेज को ताज़ा करें ।"
Back,"पीछे	"
Cancel,"रद्द करें"
Product,उत्पाद
Price,मूल्य
Quantity,मात्रा
Products,उत्पादों
ID,आईडी
Apply,"लागू करें"
Customers,ग्राहकों
"We don't have as many of these as you want.","हमारे पास ये इतने नहीं है जितने आप चाहते हो।"
"You can't add this many to your cart.","आप इतने अपने कार्ट में नहीं डाल सकते।"
"We can't find this wish list.","हम इस ग्राहक को नहीं ढूंढ सकते।"
No,नहीं
Qty,मात्रा
Discount,छूट
Action,कार्य
"No ordered items","कोई ऑर्डर नहीं किए गए आइटम"
"Total %1 product(s)","कुल %1 उत्पाद"
"Please select","कृपया चुने"
"Move to Wish List","प्रतीक्षा सूची में जोड़ें"
Reset,रीसेट
"Only <span id=""%1_max_allowed"">%2</span> in stock","केवल < div class = ""notranslate"" > 0 </div> < div class = ""notranslate"" > 1 </div> < div class = ""notranslate"" > 2 </div> स्टॉक में"
Edit,"संपादित करें"
"Remove item","आइटम हटाएँ"
Sku,SKU
"The text of the link to the My Account &gt; Order by SKU page","मेरे खाते की लिंक का पाठ &gt; आदेश sku page के द्वारा"
"Order by SKU Template","sku टेंपलेट द्वारा आदेश"
"Please correct the data sent.","कृपया भेजे गए डेटा को सुधारें ।"
"Entity type model '%1' is not found","निकाय प्रकार मॉडल '%1' नहीं मिला है"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","इकाई प्रकार मॉडल \ Magento \ CatalogImportExport \ Model \ Export \ Product \ Type \ AbstractType का एक उदाहरण होना चाहिए"
"There are no product types available for export","निर्यात के लिए कोई उत्पाद प्रकार उपलब्ध नहीं है"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","< div class = ""notranslate"" > 0 </div> वर्ग \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface को लागू नहीं करता"
"Add New Search Term","नई खोज शब्द जोड़ें"
"Successful! Test again?","सफल! फिर से परीक्षण?"
"Did you mean","क्या आपका मतलब था?"
Store,स्टोर
Results,परिणाम
Uses,उपयोग
Yes,हाँ
"Subscription status","सदस्यता स्थिति"
"Sorry, there has been an error processing your request. Please try again later.","क्षमा करें, आपके अनुरोध को संसाधित करने में कोई त्रुटि आई है । कृपया बाद में पुन: प्रयास करें ।"
"Cron settings can't be saved","क्रॉन सेटिंग्स सहेजी नहीं जा सकतीं"
"There was an error save new configuration value.","नया कॉन्फ़िगरेशन मान सहेजने में त्रुटि हुई थी।"
"--Please Select--","--कृपया चुनें--"
"These arguments can't be empty ""%1""","ये तर्क रिक्त नहीं हो सकते ""%1"""
"Cannot find predefined integration user!","पूर्वनिर्धारित एकीकरण उपयोगकर्ता नहीं मिल रहा है!"
"File is not ready yet.","फाइल अभी तैयार नहीं हुई है।"
"Advanced Reporting","उंनत रिपोर्टिंग"
